County_FIPS,Customers
1001,24619
1003,195253
1005,12400
1007,11037
1009,27074
1011,8727
1013,12325
1015,62182
1017,12749
1019,24534
1021,19414
1023,7230
1025,21629
1027,5554
1029,6993
1031,31347
1033,33811
1035,5906
1037,4170
1039,30321
1041,8129
1043,59296
1045,25013
1047,19358
1049,42548
1051,38649
1053,18593
1055,54206
1057,7831
1059,21671
1061,11742
1063,4217
1065,7916
1067,8040
1069,72388
1071,29336
1073,372757
1075,6221
1077,49361
1079,13082
1081,63579
1083,52376
1085,5496
1087,15032
1089,198793
1091,11446
1093,14058
1095,52022
1097,110135
1099,10522
1101,137566
1103,69963
1105,4481
1107,8654
1109,27989
1111,8122
1113,21728
1115,41320
1117,111917
1119,6825
1121,39215
1123,22039
1125,126125
1127,32987
1129,7878
1131,5917
1133,13268
2016,1009
2020,110430
2050,4200
2068,1014
2070,1179
2090,44163
2100,1700
2105,84
2110,17533
2122,43315
2130,7867
2150,7646
2158,1944
2170,59763
2180,3255
2185,3405
2188,2237
2195,2196
2198,2954
2220,5590
2230,1042
2240,2069
2261,5469
2275,2083
2282,171
2290,3197
4001,29549
4003,80227
4005,138090
4007,29489
4009,7828
4011,2735
4012,8403
4013,1742493
4015,149928
4017,84388
4019,492744
4021,92098
4023,1340
4025,246408
4027,109100
5001,9409
5003,9203
5005,28471
5007,123593
5009,18659
5011,5463
5013,3555
5015,17602
5017,4703
5019,11935
5021,6466
5023,17946
5025,3401
5027,11454
5029,12567
5031,75696
5033,36251
5035,25574
5037,7940
5039,3246
5041,5462
5043,9073
5045,63679
5047,10611
5049,7300
5051,49734
5053,8732
5055,31433
5057,11330
5059,15029
5061,6087
5063,19306
5065,8572
5067,8374
5069,33927
5071,18727
5073,2776
5075,7466
5077,4519
5079,5681
5081,3623
5083,11952
5085,46850
5087,13452
5089,8270
5091,15516
5093,17931
5095,3733
5097,4130
5099,4020
5101,3813
5103,13315
5105,6378
5107,9727
5109,5133
5111,10154
5113,11572
5115,32152
5117,3917
5119,247287
5121,8928
5123,12694
5125,49735
5127,4965
5129,7013
5131,77727
5133,5699
5135,10758
5137,6629
5139,19892
5141,15567
5143,149990
5145,40502
5147,3495
5149,9728
6001,751616
6003,882
6005,17050
6007,90543
6009,18417
6011,9970
6013,486945
6015,16195
6017,95672
6019,458084
6021,12233
6023,59962
6025,72691
6027,7201
6029,395015
6031,62998
6033,28397
6035,15440
6037,3762600
6039,68503
6041,113044
6043,7262
6045,39041
6047,56077
6049,6598
6051,5551
6053,195575
6055,63828
6057,52251
6059,1255530
6061,187525
6063,9230
6065,853923
6067,625566
6069,26703
6071,840555
6073,1362929
6075,209753
6077,324543
6079,125727
6081,328408
6083,192080
6085,844715
6087,118299
6089,81282
6091,2072
6093,26605
6095,187690
6097,214127
6099,219156
6101,42323
6103,28134
6107,186939
6109,23610
6111,317658
6113,101509
6115,35933
8001,243036
8003,9288
8005,323113
8007,8482
8009,1050
8011,3294
8013,166613
8014,36182
8015,12341
8017,1412
8019,3877
8021,3793
8023,2089
8025,2408
8027,2930
8029,11874
8031,398898
8033,1373
8035,157251
8037,43429
8039,10107
8041,361678
8043,19018
8045,34904
8047,2626
8049,19092
8051,14729
8053,773
8055,1566
8057,1554
8059,278207
8061,1342
8063,3818
8065,3471
8067,36986
8069,154680
8071,776
8073,3630
8075,6707
8077,78542
8079,793
8081,9049
8083,14154
8085,24974
8087,14501
8089,4206
8091,4326
8093,6016
8095,428
8097,12768
8099,3495
8101,52226
8103,5566
8105,7555
8107,18528
8109,3260
8111,549
8113,7283
8115,801
8117,16131
8119,9307
8121,4309
8123,122323
8125,5292
9001,310526
9003,572922
9005,102535
9007,94735
9009,383498
9011,78303
9013,80653
9015,66275
