storm,sid,name,fullmoment_label,spatmoment_label,first_landfall_time,final_landfall_time
0,2014180N32282,ARTHUR,6,2,2014-07-04 03:00:00,2014-07-07 03:00:00
1,2015126N27281,ANA,3,1,2015-05-10 09:00:00,2015-05-11 21:00:00
2,2015167N27266,BILL,3,0,2015-06-16 18:00:00,2015-06-20 21:00:00
3,2016148N27288,BONNIE,3,1,2016-05-29 12:00:00,2016-05-31 00:00:00
4,2016158N22272,COLIN,3,5,2016-06-07 00:00:00,2016-06-07 06:00:00
5,2016242N24279,HERMINE,3,1,2016-09-02 03:00:00,2016-09-08 15:00:00
6,2016257N27280,JULIA,3,1,2016-09-13 06:00:00,2016-09-21 03:00:00
7,2017171N24271,CINDY,3,0,2017-06-22 06:00:00,2017-06-24 03:00:00
8,2017212N28275,EMILY,3,6,2017-07-31 15:00:00,2017-08-01 03:00:00
9,2017228N14314,HARVEY,4,0,2017-08-22 03:00:00,2017-09-02 09:00:00
10,2017240N31279,NOT_NAMED,3,1,2017-08-29 09:00:00,2017-08-29 15:00:00
11,2017242N16333,IRMA,3,5,2017-09-10 18:00:00,2017-09-13 09:00:00
12,2017277N11279,NATE,2,1,2017-10-05 09:00:00,2017-10-10 21:00:00
13,2018146N19273,ALBERTO,3,3,2018-05-28 18:00:00,2018-05-31 09:00:00
14,2018242N13343,FLORENCE,3,1,2018-09-14 09:00:00,2018-09-18 09:00:00
15,2018246N22283,GORDON,0,0,2018-09-03 11:15:00,2018-09-07 15:00:00
16,2018280N18273,MICHAEL,3,1,2018-10-10 15:00:00,2018-10-12 03:00:00
17,2019192N29274,BARRY,0,0,2019-07-13 12:00:00,2019-07-16 03:00:00
18,2019204N25283,NOT_NAMED,3,6,2019-07-22 12:00:00,2019-07-22 15:00:00
19,2019261N28264,IMELDA,0,0,2019-09-17 15:00:00,2019-09-18 21:00:00
20,2019291N22264,NESTOR,3,1,2019-10-19 15:00:00,2019-10-20 18:00:00
21,2019299N25265,OLGA,4,3,2019-10-26 06:00:00,2019-10-27 15:00:00
22,2020148N32281,BERTHA,3,1,2020-05-27 12:00:00,2020-05-28 09:00:00
23,2020154N19269,CRISTOBAL,1,0,2020-06-03 13:00:00,2020-06-11 06:00:00
24,2020188N28271,FAY,4,1,2020-07-06 03:00:00,2020-07-11 15:00:00
25,2020205N26272,HANNA,0,4,2020-07-25 22:00:00,2020-07-26 15:00:00
26,2020211N13306,ISAIAS,1,1,2020-07-30 16:15:00,2020-08-05 03:00:00
27,2020233N14313,LAURA,5,6,2020-08-22 15:00:00,2020-08-29 03:00:00
28,2020256N25281,SALLY,3,5,2020-09-12 06:00:00,2020-09-18 03:00:00
29,2020261N21265,BETA,0,0,2020-09-22 00:00:00,2020-09-25 03:00:00
30,2020279N16284,DELTA,3,0,2020-10-07 09:00:00,2020-10-11 15:00:00
31,2020299N18277,ZETA,4,5,2020-10-27 03:00:00,2020-10-29 18:00:00
32,2021169N23268,CLAUDETTE,3,5,2021-06-19 03:00:00,2021-06-21 12:00:00
33,2021182N09317,ELSA,4,1,2021-07-05 18:00:00,2021-07-10 03:00:00
34,2021222N14301,FRED,1,1,2021-08-11 15:00:00,2021-08-20 03:00:00
35,2021227N36297,HENRI,3,2,2021-08-22 16:15:00,2021-08-24 06:00:00
36,2021239N17281,IDA,6,3,2021-08-27 18:00:00,2021-09-03 03:00:00
37,2021252N28273,MINDY,3,5,2021-09-09 00:00:00,2021-09-09 12:00:00
38,2021256N21265,NICHOLAS,0,0,2021-09-14 05:30:00,2021-09-17 03:00:00
39,2022154N21273,ALEX,3,6,2022-06-02 18:00:00,2022-06-04 18:00:00
40,2022183N32280,COLIN,3,1,2022-07-01 21:00:00,2022-07-02 15:00:00
41,2022266N12294,IAN,3,6,2022-09-27 06:00:00,2022-10-01 03:00:00
42,2022311N21293,NICOLE,3,5,2022-11-10 07:45:00,2022-11-11 15:00:00
43,2023234N25271,HAROLD,0,4,2023-08-22 15:00:00,2023-08-23 09:00:00
44,2023239N21274,IDALIA,3,5,2023-08-30 09:00:00,2023-08-31 03:00:00
45,2023265N29284,OPHELIA,3,1,2023-09-23 09:00:00,2023-09-24 15:00:00
